id,측정일시,작업유형,year,month,day,hour,minute,day_of_week,is_weekend,q15_index,sin_day,cos_day,sin_week,cos_week,season,is_holiday
32159,2024-12-01 00:00:00,Light_Load,2024,12,1,0,0,6,1,0,0.0,1.0,-0.7818314824680299,0.6234898018587334,winter,0
32064,2024-12-01 00:15:00,Light_Load,2024,12,1,0,15,6,1,1,0.06540312923014306,0.9978589232386035,-0.7759677769694051,0.630772549422658,winter,0
32065,2024-12-01 00:30:00,Light_Load,2024,12,1,0,30,6,1,2,0.13052619222005157,0.9914448613738104,-0.770036235239263,0.6380001539330084,winter,0
32066,2024-12-01 00:45:00,Light_Load,2024,12,1,0,45,6,1,3,0.19509032201612825,0.9807852804032304,-0.7640373758216071,0.6451719835420879,winter,0
32067,2024-12-01 01:00:00,Light_Load,2024,12,1,1,0,6,1,4,0.25881904510252074,0.9659258262890683,-0.7579717231454534,0.6522874112781207,winter,0
32068,2024-12-01 01:15:00,Light_Load,2024,12,1,1,15,6,1,5,0.3214394653031616,0.9469301294951057,-0.7518398074789772,0.6593458151000691,winter,0
32069,2024-12-01 01:30:00,Light_Load,2024,12,1,1,30,6,1,6,0.3826834323650898,0.9238795325112867,-0.745642164883166,0.6663465779520035,winter,0
32070,2024-12-01 01:45:00,Light_Load,2024,12,1,1,45,6,1,7,0.44228869021900125,0.8968727415326884,-0.7393793371649462,0.6732890878170571,winter,0
32071,2024-12-01 02:00:00,Light_Load,2024,12,1,2,0,6,1,8,0.49999999999999994,0.8660254037844387,-0.7330518718298269,0.6801727377709188,winter,0
32072,2024-12-01 02:15:00,Light_Load,2024,12,1,2,15,6,1,9,0.5555702330196022,0.8314696123025452,-0.7266603220340271,0.6869969260349016,winter,0
32073,2024-12-01 02:30:00,Light_Load,2024,12,1,2,30,6,1,10,0.6087614290087207,0.7933533402912352,-0.7202052465361272,0.6937610560285409,winter,0
32074,2024-12-01 02:45:00,Light_Load,2024,12,1,2,45,6,1,11,0.6593458151000688,0.7518398074789774,-0.7136872096482122,0.7004645364217583,winter,0
32075,2024-12-01 03:00:00,Light_Load,2024,12,1,3,0,6,1,12,0.7071067811865476,0.7071067811865476,-0.7071067811865477,0.7071067811865474,winter,0
32076,2024-12-01 03:15:00,Light_Load,2024,12,1,3,15,6,1,13,0.7518398074789774,0.6593458151000688,-0.7004645364217585,0.713687209648212,winter,0
32077,2024-12-01 03:30:00,Light_Load,2024,12,1,3,30,6,1,14,0.7933533402912352,0.6087614290087207,-0.6937610560285418,0.7202052465361263,winter,0
32078,2024-12-01 03:45:00,Light_Load,2024,12,1,3,45,6,1,15,0.8314696123025451,0.5555702330196024,-0.6869969260349019,0.7266603220340268,winter,0
32079,2024-12-01 04:00:00,Light_Load,2024,12,1,4,0,6,1,16,0.8660254037844386,0.5000000000000001,-0.6801727377709191,0.7330518718298266,winter,0
32080,2024-12-01 04:15:00,Light_Load,2024,12,1,4,15,6,1,17,0.8968727415326884,0.44228869021900125,-0.6732890878170574,0.7393793371649459,winter,0
32081,2024-12-01 04:30:00,Light_Load,2024,12,1,4,30,6,1,18,0.9238795325112867,0.38268343236508984,-0.6663465779520038,0.7456421648831657,winter,0
32082,2024-12-01 04:45:00,Light_Load,2024,12,1,4,45,6,1,19,0.9469301294951056,0.3214394653031617,-0.6593458151000694,0.7518398074789769,winter,0
32083,2024-12-01 05:00:00,Light_Load,2024,12,1,5,0,6,1,20,0.9659258262890683,0.25881904510252074,-0.6522874112781211,0.757971723145453,winter,0
32084,2024-12-01 05:15:00,Light_Load,2024,12,1,5,15,6,1,21,0.9807852804032304,0.19509032201612833,-0.6451719835420883,0.7640373758216069,winter,0
32085,2024-12-01 05:30:00,Light_Load,2024,12,1,5,30,6,1,22,0.9914448613738104,0.1305261922200517,-0.6380001539330087,0.7700362352392628,winter,0
32086,2024-12-01 05:45:00,Light_Load,2024,12,1,5,45,6,1,23,0.9978589232386035,0.06540312923014327,-0.6307725494226584,0.7759677769694049,winter,0
32087,2024-12-01 06:00:00,Light_Load,2024,12,1,6,0,6,1,24,1.0,6.123233995736766e-17,-0.6234898018587337,0.7818314824680297,winter,0
